length_bucket,segment_occurrences,segment_count_share,kv_capacity_tokens,kv_capacity_share
<=64 tok,50225,0.14567640549814226,1472453,0.011604532035559785
65-256 tok,84771,0.24587624829234478,12369260,0.09748322963528766
257-512 tok,139698,0.40519069179252315,46131487,0.363566320106319
513-1K tok,49282,0.14294125666021795,40440222,0.3187129583926615
>1K tok,20795,0.06031539775677189,26472608,0.208632959830172
